Transaction Date,Posting Date,Description,Amount,Category,Month,Year
1-Feb,3-Feb,ANNUAL FEE,39,Banking fee,Feb,2020
3-Feb,3-Feb,ANNUAL REBATE FEE,-39,Banking fee,Feb,2020
11-Oct,15-Oct,WAL-MART SUPERCENTER#1107WATERDOWN ON,31.69,Shopping,Oct,2020
15-Oct,15-Oct,AMZN MKTP CA*MK0524RQ0 WWW.AMAZON.CAON,60.81,Shopping - Amazon,Oct,2020
16-Oct,19-Oct,FORTINOS (WATERDOWN 20 WATERDOWN ON,17.68,Groceries,Oct,2020
16-Oct,19-Oct,FORTINOS (MAIN STREET) HAMILTON ON,18.31,Groceries,Oct,2020
17-Oct,19-Oct,R M*WYSE 289-3190885 ON,35.3,Electricity,Oct,2020
17-Oct,19-Oct,PAYMENT - THANK YOU / PAIEMENT - MERCI,-733,Credit card payment,Oct,2020
17-Oct,19-Oct,CANADIANTIRE.CA/ROADSIDE 8887277478 ON,112.94,Shopping,Oct,2020
20-Oct,21-Oct,COGECO CONNEXION BURLINGTON ON,96.04,Internet,Oct,2020
21-Oct,22-Oct,ERIC'S NO FRILLS 3114 WATERDOWN ON,41.36,Groceries,Oct,2020
21-Oct,23-Oct,MTO RUS - SO WATERDOWN WATERDOWN ON,35,NA,Oct,2020
22-Oct,22-Oct,AMZN MKTP CA*2T2X58Q41 WWW.AMAZON.CAON,76.69,Shopping - Amazon,Oct,2020
22-Oct,23-Oct,TIM HORTONS #38 DUNDAS ON,3.75,Coffee,Oct,2020
23-Oct,26-Oct,INDIAN GROCERS BURLINGTON ON,28.54,Groceries,Oct,2020
23-Oct,26-Oct,THE WINGERY - BURLINGT BURLINGTON ON,12.41,Food - Take out,Oct,2020
24-Oct,27-Oct,WAL-MART SUPERCENTER#1107WATERDOWN ON,81.47,Shopping,Oct,2020
24-Oct,26-Oct,AMAZON.CA PRIME MEMBER AMAZON.CA/PRIBC,9.03,Shopping - Amazon,Oct,2020
26-Oct,27-Oct,FORTINOS (MAIN STREET) HAMILTON ON,69.15,Groceries,Oct,2020
26-Oct,28-Oct,THE CHILDRENS PLACE MISSISSAUGA ON,50.88,Clothing,Oct,2020
28-Oct,29-Oct,PIONEER STN #19 DUNDAS ON,25,Fuel,Oct,2020
28-Oct,29-Oct,EDDIE BAUER CANADA #91 HAMILTON ON,216.28,NA,Oct,2020
29-Oct,30-Oct,FORTINOS (MAIN STREET) HAMILTON ON,60.09,Groceries,Oct,2020
30-Oct,2-Nov,DHL EXPRESS ADC QC 905-861-3540 ON,18.64,NA,Oct,2020
30-Oct,30-Oct,PAYMENT - THANK YOU / PAIEMENT - MERCI,-689.26,Credit card payment,Oct,2020
31-Oct,2-Nov,COPPER KETTLE CAFE WATERDOWN ON,7,Restaurant,Oct,2020
31-Oct,2-Nov,INDIAN HUT WATERDOWN ON,23.45,NA,Oct,2020
1-Nov,2-Nov,FORTINOS (MAIN STREET) HAMILTON ON,29.11,Groceries,Nov,2020
2-Nov,3-Nov,AMZN MKTP CA*2833P51Z0 WWW.AMAZON.CAON,79.09,Shopping - Amazon,Nov,2020
3-Nov,4-Nov,FORTINOS HAMILTON ON,34.63,Groceries,Nov,2020
3-Nov,4-Nov,SUPERCUTS SALON #57022 WATERDOWN ON,34.31,Grooming,Nov,2020
3-Nov,3-Nov,AMAZON.CA*287PZ0VY1 AMAZON.CA ON,32.21,Shopping - Amazon,Nov,2020
6-Nov,9-Nov,FORTINOS (WATERDOWN 20 WATERDOWN ON,82.54,Groceries,Nov,2020
7-Nov,9-Nov,IKEA BURLINGTON BURLINGTON ON,30.42,Shopping,Nov,2020
7-Nov,9-Nov,WAL*MART CANADA INC MISSISSAUGA ON,-62.14,NA,Nov,2020
8-Nov,9-Nov,AMZN MKTP CA*281Z16BF2 WWW.AMAZON.CAON,48.24,Shopping - Amazon,Nov,2020
8-Nov,9-Nov,VESTA *CHATR 888-278-5588 BC,39.55,Phone,Nov,2020
10-Nov,12-Nov,FORTINOS (WATERDOWN 20 WATERDOWN ON,62.36,Groceries,Nov,2020
10-Nov,12-Nov,SHOPPERS DRUG MART #1054 WATERDOWN ON,25.44,Healthcare - Pharmacy,Nov,2020
12-Nov,16-Nov,WAL-MART SUPERCENTER#1107WATERDOWN ON,107.25,Shopping,Nov,2020
13-Nov,16-Nov,NETFLIX.COM 866-716-0414 ON,14.99,Entertainment,Nov,2020
13-Nov,16-Nov,VESTA *CHATR 888-278-5588 BC,39.55,Phone,Nov,2020
14-Nov,16-Nov,PAYMENT - THANK YOU / PAIEMENT - MERCI,-786.22,Credit card payment,Nov,2020
15-Nov,16-Nov,AMZN MKTP CA*204ES9A11 WWW.AMAZON.CAON,10.6,Shopping - Amazon,Nov,2020
17-Nov,18-Nov,FORTINOS (WATERDOWN 20 WATERDOWN ON,93.55,Groceries,Nov,2020
17-Nov,18-Nov,SHOPPERS DRUG MART #1054 WATERDOWN ON,15.46,Healthcare - Pharmacy,Nov,2020
20-Nov,20-Nov,DOORDASH*BANGKOK SPOON DOWNTOWN TOROON,37.29,Food - Take out,Nov,2020
20-Nov,23-Nov,R M*WYSE 289-3190885 ON,42.35,Electricity,Nov,2020
20-Nov,23-Nov,COGECO CONNEXION 905-3335343 ON,96.04,Internet,Nov,2020
20-Nov,23-Nov,DOLLARAMA # 598 WATERDOWN ON,19.78,Shopping,Nov,2020
21-Nov,23-Nov,FORTINOS (WATERDOWN 20 WATERDOWN ON,32.74,Groceries,Nov,2020
24-Nov,24-Nov,AMAZON.CA PRIME MEMBER AMAZON.CA/PRIBC,9.03,Shopping - Amazon,Nov,2020
24-Nov,25-Nov,COPPER KETTLE CAFE WATERDOWN ON,11,Restaurant,Nov,2020
25-Nov,26-Nov,TIM HORTONS #38 DUNDAS ON,5.99,Coffee,Nov,2020
28-Nov,30-Nov,AMZN MKTP CA*C72WS7AB3 WWW.AMAZON.CAON,97.99,Shopping - Amazon,Nov,2020
28-Nov,30-Nov,FORTINOS (WATERDOWN 20 WATERDOWN ON,42.17,Groceries,Nov,2020
28-Nov,30-Nov,DYMENTS FARM DUNDAS ON,46.45,Groceries,Nov,2020
29-Nov,30-Nov,SHOPPERS DRUG MART DUNDAS ON,24.65,Healthcare - Pharmacy,Nov,2020
29-Nov,30-Nov,PAYMENT - THANK YOU / PAIEMENT - MERCI,-700,Credit card payment,Nov,2020
29-Nov,30-Nov,DOLLARAMA # 284 DUNDAS ON,4.52,Shopping,Nov,2020
2-Dec,3-Dec,FORTINOS (WATERDOWN 20 WATERDOWN ON,49.81,Groceries,Dec,2020
2-Dec,2-Dec,GAP.COM 4584 800-427-7895 ON,33.9,Clothing,Dec,2020
2-Dec,3-Dec,DOLLARAMA # 598 WATERDOWN ON,8.48,Shopping,Dec,2020
2-Dec,3-Dec,SHOPPERS DRUG MART #1054 WATERDOWN ON,23.12,Healthcare - Pharmacy,Dec,2020
2-Dec,4-Dec,PETROCAN-475 HWY 6 DUNDAS ON,15,Fuel,Dec,2020
4-Dec,4-Dec,GAP.COM 4584 800-427-7895 ON,58.09,Clothing,Dec,2020
4-Dec,7-Dec,AMZN MKTP CA*5J02L5RQ3 WWW.AMAZON.CAON,31.49,Shopping - Amazon,Dec,2020
5-Dec,7-Dec,BOMBAY SPICES HAMILTON HAMILTON ON,41.83,Restaurant,Dec,2020
6-Dec,7-Dec,FORTINOS HAMILTON ON,35.39,Groceries,Dec,2020
8-Dec,8-Dec,VESTA *CHATR 888-278-5588 BC,39.55,Phone,Dec,2020
12-Dec,14-Dec,AMAZON.CA*YL19L0HF3 AMAZON.CA ON,12.06,Shopping - Amazon,Dec,2020
12-Dec,14-Dec,ROYAL EAST DENTAL CENT DUNDAS ON,104.8,Healthcare - Dental,Dec,2020
12-Dec,14-Dec,DOORDASH*PIZZA PIZZA DOWNTOWN TOROON,30.6,Food - Take out,Dec,2020
13-Dec,14-Dec,NETFLIX.COM 866-716-0414 ON,14.99,Entertainment,Dec,2020
13-Dec,14-Dec,PAYMENT - THANK YOU / PAIEMENT - MERCI,-588.57,Credit card payment,Dec,2020
9-Dec,10-Dec,THAI WATERDOWN WATERDOWN ON,35.8,NA,Dec,2020
22-Feb,24-Feb,PRINCE OF INDIA BURLINGTON ON,16.88,NA,Feb,2020
23-Feb,26-Feb,WAL-MART SUPERCENTER#3141BURLINGTON ON,6.81,Shopping,Feb,2020
23-Feb,26-Feb,WAL-MART SUPERCENTER#3141BURLINGTON ON,11.27,Shopping,Feb,2020
23-Feb,24-Feb,TIM HORTONS #0582 BURLINGTON ON,6.35,Coffee,Feb,2020
23-Feb,24-Feb,AMAYA EXPRESS BURLINGTON ON,14.23,NA,Feb,2020
23-Feb,24-Feb,MCDONALD'S #2129 BURLINGTON ON,11.84,NA,Feb,2020
24-Feb,25-Feb,POPEYES 13248 HAMILTON ON,13.19,NA,Feb,2020
24-Feb,26-Feb,STARBUCKS 04979 WATERDOWN ON,5.03,Coffee,Feb,2020
24-Feb,24-Feb,TIM HORTONS #0582 BURLINGTON ON,1.88,Coffee,Feb,2020
24-Feb,25-Feb,HAKKA FRESH BURLINGTON ON,28.49,NA,Feb,2020
25-Feb,26-Feb,TIM HORTONS #1007 BURLINGTON ON,1.88,Coffee,Feb,2020
25-Feb,26-Feb,BEST BUY #942 BURLINGTON ON,67.78,Shopping,Feb,2020
25-Feb,26-Feb,POPEYES 13248 HAMILTON ON,13.87,NA,Feb,2020
26-Feb,28-Feb,DRAGON ISLAND WATERDOWN ON,10.15,NA,Feb,2020
26-Feb,27-Feb,WWW.COWANGROUP.CA CAMBRIDGE CENON,184.84,NA,Feb,2020
26-Feb,27-Feb,TIM HORTONS #1007 BURLINGTON ON,5.46,Coffee,Feb,2020
27-Feb,28-Feb,POPEYES 13248 HAMILTON ON,13.87,NA,Feb,2020
28-Feb,2-Mar,THE BOMBAY GRILL BURLINGTON ON,14.68,NA,Feb,2020
Feb-29,2-Mar,AMZN MKTP CA*EF0IR25X3 WWW.AMAZON.CAON,354.97,Shopping - Amazon,Feb,2020
Feb-29,2-Mar,BRANT PLAZA PHARMASAVE BURLINGTON ON,"1,284.00",NA,Feb,2020
Feb-29,2-Mar,BRANT PLAZA PHARMASAVE BURLINGTON ON,"-1,284.00",NA,Feb,2020
Feb-29,2-Mar,ANJAPPAR CHETTINAD RESTAUBRAMPTON ON,38.14,Restaurant,Feb,2020
Feb-29,2-Mar,CDN TIRE GASBAR #01721 BURLINGTON ON,20,Shopping,Feb,2020
1-Mar,4-Mar,WAL-MART SUPERCENTER#1107WATERDOWN ON,157.77,Shopping,Mar,2020
1-Mar,4-Mar,WAL-MART SUPERCENTER#1107WATERDOWN ON,35.45,Shopping,Mar,2020
1-Mar,2-Mar,TIM HORTONS #0582 BURLINGTON ON,5.74,Coffee,Mar,2020
1-Mar,2-Mar,AI5-PHO NAM THANH - VIET-DUNDAS ON,16.9,NA,Mar,2020
1-Mar,2-Mar,FAMOUS WOK BURLINGTON ON,13.87,NA,Mar,2020
2-Mar,3-Mar,ERIC'S NO FRILLS 3114 WATERDOWN ON,18.91,Groceries,Mar,2020
2-Mar,3-Mar,SUBWAY # 15472 WATERDOWN ON,8.46,NA,Mar,2020
3-Mar,4-Mar,KFC # 1434 WATERDOWN ON,11.85,NA,Mar,2020
3-Mar,6-Mar,FORTINOS (WATERDOWN 20 WATERDOWN ON,14.46,Groceries,Mar,2020
3-Mar,4-Mar,STAPLES #456 DUNDAS ON,1.7,Shopping,Mar,2020
4-Mar,5-Mar,SUBWAY # 41084 WATERDOWN ON,5.07,NA,Mar,2020
5-Mar,6-Mar,POPEYES 13248 HAMILTON ON,13.87,NA,Mar,2020
5-Mar,9-Mar,WAL-MART SUPERCENTER#1107WATERDOWN ON,105.29,Shopping,Mar,2020
5-Mar,5-Mar,PAYMENT - THANK YOU / PAIEMENT - MERCI,-500,Credit card payment,Mar,2020
5-Mar,6-Mar,STAPLES #456 DUNDAS ON,0.14,Shopping,Mar,2020
7-Mar,9-Mar,INDIAN GROCERS BURLINGTON ON,35.26,Groceries,Mar,2020
7-Mar,9-Mar,SUPERCUTS SALON #57022 WATERDOWN ON,28.85,Grooming,Mar,2020
7-Mar,9-Mar,AI5-PHO NAM THANH - VIET-DUNDAS ON,16.9,NA,Mar,2020
7-Mar,9-Mar,SHOPPERSDRUGMART1206 BURLINGTON ON,19.55,Healthcare - Pharmacy,Mar,2020
7-Mar,9-Mar,AIR- SERV A PS607547 WATERDOWN ON,1.5,NA,Mar,2020
7-Mar,9-Mar,AIR- SERV A PS607547 WATERDOWN ON,1.5,NA,Mar,2020
7-Mar,9-Mar,PAYMENT - THANK YOU / PAIEMENT - MERCI,-645,Credit card payment,Mar,2020
7-Mar,9-Mar,CDN TIRE STORE #00220 WATERDOWN ON,16.94,Shopping,Mar,2020
7-Mar,9-Mar,CDN TIRE GASBAR #01318 WATERDOWN ON,20,Shopping,Mar,2020
8-Mar,9-Mar,WAYFAIR*WAYFAIR.CA 800-5081737 ON,508.49,NA,Mar,2020
8-Mar,9-Mar,TIM HORTONS #38 DUNDAS ON,1.88,Coffee,Mar,2020
8-Mar,11-Mar,ANJAPPAR CHETTINAD RESTAUBRAMPTON ON,35.88,Restaurant,Mar,2020
9-Mar,10-Mar,TIM HORTONS #0321 WATERDOWN ON,10.37,Coffee,Mar,2020
10-Mar,10-Mar,AMZ*MOLBLLY SLEEP WWW.AMAZON.CAON,-354.97,Shopping - Amazon,Mar,2020
10-Mar,11-Mar,KFC # 1434 WATERDOWN ON,11.85,NA,Mar,2020
11-Mar,12-Mar,SUBWAY # 41084 WATERDOWN ON,5.07,NA,Mar,2020
11-Mar,12-Mar,POPEYES 13248 HAMILTON ON,6.2,NA,Mar,2020
11-Mar,11-Mar,SVI - 143 HEARTLAKE RD 905-457-0777 ON,161.95,NA,Mar,2020
12-Mar,13-Mar,INDIAN HUT WATERDOWN ON,16.94,NA,Mar,2020
12-Mar,13-Mar,SUBWAY # 41084 WATERDOWN ON,8.46,NA,Mar,2020
12-Mar,13-Mar,PETROCAN-475 HWY 6 DUNDAS ON,20,Fuel,Mar,2020
13-Mar,16-Mar,THAI WATERDOWN WATERDOWN ON,11.3,NA,Mar,2020
13-Mar,16-Mar,FORTINO'S (PLAINS ROAD BURLINGTON ON,70.71,NA,Mar,2020
13-Mar,16-Mar,TIM HORTONS #38 DUNDAS ON,1.88,Coffee,Mar,2020
13-Mar,16-Mar,IKEA BURLINGTON BURLINGTON ON,198.26,Shopping,Mar,2020
14-Mar,16-Mar,MARILU'S MARKET BURLINGTON ON,33.74,NA,Mar,2020
14-Mar,16-Mar,TIM HORTONS #38 DUNDAS ON,1.88,Coffee,Mar,2020
16-Mar,18-Mar,WAYFAIR*WAYFAIR.CA 800-5081737 ON,209.04,NA,Mar,2020
17-Mar,18-Mar,TIM HORTONS #38 DUNDAS ON,1.88,Coffee,Mar,2020
17-Mar,18-Mar,GROCERY ZONE INC HAMILTON ON,17.1,NA,Mar,2020
17-Mar,18-Mar,SUBWAY # 11074 DUNDAS ON,8.24,NA,Mar,2020
17-Mar,18-Mar,CDN TIRE GASBAR #01318 WATERDOWN ON,20,Shopping,Mar,2020
17-Mar,17-Mar,PAYMENT - THANK YOU / PAIEMENT - MERCI,"-1,000.00",Credit card payment,Mar,2020
18-Mar,19-Mar,TIM HORTONS #38 DUNDAS ON,1.88,Coffee,Mar,2020
18-Mar,19-Mar,INDIAN GROCERS BURLINGTON ON,68.3,Groceries,Mar,2020
19-Mar,20-Mar,FORTINOS (MAIN STREET) HAMILTON ON,22.01,Groceries,Mar,2020
20-Mar,23-Mar,COGECO CONNEXION BURLINGTON ON,123.16,Internet,Mar,2020
21-Mar,23-Mar,FORTINOS (MAIN STREET) HAMILTON ON,69.79,Groceries,Mar,2020
22-Mar,25-Mar,WAL-MART SUPERCENTER#1107WATERDOWN ON,145,Shopping,Mar,2020
24-Mar,25-Mar,FORTINOS (MAIN STREET) HAMILTON ON,16.32,Groceries,Mar,2020
24-Mar,25-Mar,FORTINOS (WATERDOWN 20 WATERDOWN ON,9.1,Groceries,Mar,2020
28-Mar,30-Mar,FORTINOS (WATERDOWN 20 WATERDOWN ON,139.56,Groceries,Mar,2020
7-Apr,8-Apr,FORTINOS (WATERDOWN 20 WATERDOWN ON,167.26,Groceries,Apr,2020
10-Apr,13-Apr,DISNEY PLUS 1 800727-1800CA,8.99,Entertainment,Apr,2020
10-Apr,13-Apr,PAYMENT - THANK YOU / PAIEMENT - MERCI,"-1,110.00",Credit card payment,Apr,2020
11-Apr,13-Apr,SVI - 143 HEARTLAKE RD 905-457-0777 ON,161.95,NA,Apr,2020
13-Apr,14-Apr,MANULIFE FINANCIAL TORONTO ON,213.6,NA,Apr,2020
14-Apr,14-Apr,PURCHASE INTEREST 19.99%,10.08,NA,Apr,2020
16-Apr,17-Apr,VESTA *CHATR 888-278-5588 BC,45.2,Phone,Apr,2020
16-Apr,17-Apr,R M*WYSE 289-3190885 ON,231.14,Electricity,Apr,2020
16-Apr,17-Apr,FORTINOS (WATERDOWN 20 WATERDOWN ON,94.69,Groceries,Apr,2020
20-Apr,21-Apr,COGECO CONNEXION BURLINGTON ON,89.26,Internet,Apr,2020
21-Apr,22-Apr,MANULIFE FINANCIAL TORONTO ON,-213.6,NA,Apr,2020
24-Apr,24-Apr,AMAZON.CA PRIME MEMBER AMAZON.CA/PRIBC,9.03,Shopping - Amazon,Apr,2020
24-Apr,27-Apr,FORTINOS (WATERDOWN 20 WATERDOWN ON,105.79,Groceries,Apr,2020
26-Apr,29-Apr,WAL-MART SUPERCENTER#1107WATERDOWN ON,267.82,Shopping,Apr,2020
28-Apr,29-Apr,PAYMENT - THANK YOU / PAIEMENT - MERCI,-500,Credit card payment,Apr,2020
1-May,4-May,FORTINOS (WATERDOWN 20 WATERDOWN ON,123.65,Groceries,May,2020
1-May,4-May,PETROCAN-475 HWY 6 DUNDAS ON,25,Fuel,May,2020
6-May,6-May,SVI - 143 HEARTLAKE RD 905-457-0777 ON,161.95,NA,May,2020
8-May,11-May,FORTINOS (WATERDOWN 20 WATERDOWN ON,147.03,Groceries,May,2020
8-May,11-May,WAL-MART SUPERCENTER#1107WATERDOWN ON,38.33,Shopping,May,2020
10-May,11-May,DISNEY PLUS 1 800727-1800CA,8.99,Entertainment,May,2020
15-May,19-May,FORTINOS (WATERDOWN 20 WATERDOWN ON,87.1,Groceries,May,2020
15-May,19-May,WAL-MART SUPERCENTER#1107WATERDOWN ON,117.59,Shopping,May,2020
19-May,21-May,CLASSIC TOWING AND STORAGETOBICOKE ON,192.09,NA,May,2020
19-May,22-May,WAL-MART SUPERCENTER#1107WATERDOWN ON,28.2,Shopping,May,2020
20-May,21-May,COGECO CONNEXION BURLINGTON ON,89.26,Internet,May,2020
20-May,20-May,VESTA *CHATR 888-278-5588 BC,45.2,Phone,May,2020
